air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,wind_speed_10m,period_end,period
22,0.2,-50,0,0,0,0,51.3,10.5,0,0,0,0,24.6,0,47.4,862.8,0,0,1.9,2021-07-13T00:30:00+00:00,PT30M
22,0.2,-55,0,0,0,0,32.8,10.6,0,0,0,0,24.3,0,48.4,862.9,0,0,1.8,2021-07-13T01:00:00+00:00,PT30M
22,0.2,-60,0,0,0,0,21.3,10.9,0,0,0,0,24.3,0,49.5,863,0,0,1.6,2021-07-13T01:30:00+00:00,PT30M
22,0.2,-64,16,15,17,15,22.1,11.2,12,0,12,12,24.6,0,50.5,863.1,0,0,1.4,2021-07-13T02:00:00+00:00,PT30M
23,0.2,-68,52,151,74,47,42.4,11.1,43,0,43,42,24.9,0,47.5,863.2,0,0,1.2,2021-07-13T02:30:00+00:00,PT30M
25,0.2,-72,83,307,157,104,25,10.6,107,47,120,108,25.2,0,41.1,863.5,0,0,0.9,2021-07-13T03:00:00+00:00,PT30M
26,0.2,-76,109,427,252,191,10.9,10.1,143,244,226,187,25.5,0,36.5,863.6,0,0,0.7,2021-07-13T03:30:00+00:00,PT30M
27,0.2,-80,130,518,353,293,0.2,9.6,131,514,353,293,25.7,0,33.3,863.6,0,0,0.8,2021-07-13T04:00:00+00:00,PT30M
28,0.2,-84,147,589,455,401,0,9.2,147,589,455,401,25.7,0,30.9,863.7,0,0,0.9,2021-07-13T04:30:00+00:00,PT30M
29,0.2,-88,160,644,553,509,0,9,160,644,553,509,25.7,0,29.4,863.7,0,0,0.9,2021-07-13T05:00:00+00:00,PT30M
29,0.2,-93,171,686,645,612,0,9,171,686,645,612,25.7,0,28.5,863.7,0,0,1.1,2021-07-13T05:30:00+00:00,PT30M
